Date,Taylor Swift,Worldwide
7/10/2019,14,15
7/11/2019,20,22
7/12/2019,13,18
7/13/2019,14,17
7/14/2019,14,16
7/15/2019,11,14
7/16/2019,11,13
7/17/2019,10,13
7/18/2019,12,14
7/19/2019,16,17
7/20/2019,13,16
7/21/2019,12,15
7/22/2019,11,13
7/23/2019,21,22
7/24/2019,25,27
7/25/2019,15,18
7/26/2019,13,15
7/27/2019,14,16
7/28/2019,12,15
7/29/2019,11,13
7/30/2019,10,13
7/31/2019,12,14
8/1/2019,12,14
8/2/2019,11,13
8/3/2019,12,15
8/4/2019,12,14
8/5/2019,10,12
8/6/2019,11,13
8/7/2019,11,13
8/8/2019,18,17
8/9/2019,19,19
8/10/2019,19,20
8/11/2019,18,18
8/12/2019,20,20
8/13/2019,14,16
8/14/2019,13,15
8/15/2019,13,16
8/16/2019,38,39
8/17/2019,26,28
8/18/2019,22,24
8/19/2019,16,19
8/20/2019,17,19
8/21/2019,19,21
8/22/2019,47,42
8/23/2019,100,100
8/24/2019,71,68
8/25/2019,57,57
8/26/2019,43,44
8/27/2019,72,66
8/28/2019,40,40
8/29/2019,30,33
8/30/2019,25,28
8/31/2019,26,30
9/1/2019,23,27
9/2/2019,27,27
9/3/2019,18,23
9/4/2019,16,20
9/5/2019,18,21
9/6/2019,18,23
9/7/2019,19,24
9/8/2019,18,20
9/9/2019,14,17
9/10/2019,14,18
9/11/2019,13,16
9/12/2019,12,17
9/13/2019,13,16
9/14/2019,15,18
9/15/2019,16,18
9/16/2019,11,14
9/17/2019,19,23
9/18/2019,19,22
9/19/2019,16,19
9/20/2019,14,16
9/21/2019,15,19
9/22/2019,14,18
9/23/2019,11,14
9/24/2019,11,14
9/25/2019,11,14
9/26/2019,11,13
9/27/2019,12,14
9/28/2019,14,15
9/29/2019,13,15
9/30/2019,10,13
10/1/2019,10,12
10/2/2019,9,12
10/3/2019,10,12
10/4/2019,21,21
10/5/2019,19,19
10/6/2019,33,28
10/7/2019,20,20
